"Year","Growth_Rate","Top.10..Growth.Rate","Top.1..Growth.Rate","Gini.Change.Rate","Consumer.Sentiment.Growth.Rate","GDP.Growth.Rate","Income.Growth.Rate","Bottom.50..Growth.Rate"
2004,33.3333333333333,0.6529,1.3893,-1.23,8.64,6.64,2.27,-2.1505
2005,8.87096774193549,0.1179,2.4857,1.74,-6.99,6.73,0.24,1.6484
2006,-4.44444444444445,0.1178,1.2438,0.98,-1.4,5.95,2.65,-6.4865
2007,28.6821705426356,0.603,1.2592,-1.45,-1.98,4.77,1.37,-15.6069
2008,18.6746987951807,1.5058,0.3943,0,-25.51,2.04,0.63,-24.6575
2009,-12.6903553299492,0.3889,-2.8097,-0.49,3.93,-1.98,-0.64,-12.7273
2010,4.06976744186047,1.6786,3.3261,-1.48,8.43,3.94,1.03,-6.25
2011,34.6368715083799,1.1853,3.3694,2.25,-6.25,3.66,1.36,-2.2222
2012,23.2365145228216,1.1853,3.8999,0,13.65,4.19,1.95,0
2013,2.02020202020201,0.4686,-1.0364,-0.73,3.48,3.86,-2.17,5.6818
2014,27.7227722772277,-0.0686,1.5001,2.22,6.21,4.31,2.64,12.9032
2015,-3.61757105943153,-0.2883,0.3625,-0.72,10.48,3.9,3.11,5.7143
2016,-3.2171581769437,-0.5369,-0.8614,-0.24,-1.18,2.79,1.11,4.5045
2017,-4.43213296398891,-1.9516,-1.7377,0.24,5.36,4.29,2.41,25
2018,11.0144927536232,-0.2259,-0.4278,0.49,1.65,5.33,3.01,2.7586
2019,-7.57180156657963,-0.0141,-0.0859,0.24,-2.42,4.28,2.59,2.0134
2020,-8.19209039548023,0.0142,0,-4.34,-15.05,-0.86,5.94,0
2021,-0.923076923076917,0,0,0,-4.81,10.9,3.32,0
2022,15.2173913043478,0.0283,0.0573,4.03,-24.02,9.82,-5.93,-1.9737
2004,5.06329113924051,0.6529,1.3893,-1.23,8.64,6.64,2.27,-2.1505
2005,14.6987951807229,0.1179,2.4857,1.74,-6.99,6.73,0.24,1.6484
2006,9.45378151260505,0.1178,1.2438,0.98,-1.4,5.95,2.65,-6.4865
2007,23.4165067178503,0.603,1.2592,-1.45,-1.98,4.77,1.37,-15.6069
2008,29.5489891135303,1.5058,0.3943,0,-25.51,2.04,0.63,-24.6575
2009,-13.9255702280912,0.3889,-2.8097,-0.49,3.93,-1.98,-0.64,-12.7273
2010,-2.51046025104602,1.6786,3.3261,-1.48,8.43,3.94,1.03,-6.25
2011,39.1988555078684,1.1853,3.3694,2.25,-6.25,3.66,1.36,-2.2222
2012,21.4799588900308,1.1853,3.8999,0,13.65,4.19,1.95,0
2013,10.0676818950931,0.4686,-1.0364,-0.73,3.48,3.86,-2.17,5.6818
2014,5.9185242121445,-0.0686,1.5001,2.22,6.21,4.31,2.64,12.9032
2015,-18.2148040638607,-0.2883,0.3625,-0.72,10.48,3.9,3.11,5.7143
2016,11.357586512866,-0.5369,-0.8614,-0.24,-1.18,2.79,1.11,4.5045
2017,-9.40239043824702,-1.9516,-1.7377,0.24,5.36,4.29,2.41,25
2018,19.349164467898,-0.2259,-0.4278,0.49,1.65,5.33,3.01,2.7586
2019,15.7700810611643,-0.0141,-0.0859,0.24,-2.42,4.28,2.59,2.0134
2020,-0.0636537237428489,0.0142,0,-4.34,-15.05,-0.86,5.94,0
2021,-1.9108280254777,0,0,0,-4.81,10.9,3.32,0
2022,21.3636363636364,0.0283,0.0573,4.03,-24.02,9.82,-5.93,-1.9737
2004,12.874442319949,0.6529,1.3893,-1.23,8.64,6.64,2.27,-2.1505
2005,-2.65386787125919,0.1179,2.4857,1.74,-6.99,6.73,0.24,1.6484
2006,22.5638051044084,0.1178,1.2438,0.98,-1.4,5.95,2.65,-6.4865
2007,19.1197349739707,0.603,1.2592,-1.45,-1.98,4.77,1.37,-15.6069
2008,-0.397298371076684,1.5058,0.3943,0,-25.51,2.04,0.63,-24.6575
2009,1.39609094535302,0.3889,-2.8097,-0.49,3.93,-1.98,-0.64,-12.7273
2010,10.5035405192762,1.6786,3.3261,-1.48,8.43,3.94,1.03,-6.25
2011,13.8483446066216,1.1853,3.3694,2.25,-6.25,3.66,1.36,-2.2222
2012,14.2276422764228,1.1853,3.8999,0,13.65,4.19,1.95,0
2013,7.11743772241993,0.4686,-1.0364,-0.73,3.48,3.86,-2.17,5.6818
2014,7.6156401737797,-0.0686,1.5001,2.22,6.21,4.31,2.64,12.9032
2015,-6.50676798860129,-0.2883,0.3625,-0.72,10.48,3.9,3.11,5.7143
2016,7.31521463042927,-0.5369,-0.8614,-0.24,-1.18,2.79,1.11,4.5045
2017,24,-1.9516,-1.7377,0.24,5.36,4.29,2.41,25
2018,2.2332506203474,-0.2259,-0.4278,0.49,1.65,5.33,3.01,2.7586
2019,12.2479462285287,-0.0141,-0.0859,0.24,-2.42,4.28,2.59,2.0134
2020,-8.66600133067199,0.0142,0,-4.34,-15.05,-0.86,5.94,0
2021,32.4348934620288,0,0,0,-4.81,10.9,3.32,0
2022,16.7904290429043,0.0283,0.0573,4.03,-24.02,9.82,-5.93,-1.9737
2004,16.8831168831169,0.6529,1.3893,-1.23,8.64,6.64,2.27,-2.1505
2005,-6.11111111111112,0.1179,2.4857,1.74,-6.99,6.73,0.24,1.6484
2006,17.7514792899408,0.1178,1.2438,0.98,-1.4,5.95,2.65,-6.4865
2007,19.0954773869347,0.603,1.2592,-1.45,-1.98,4.77,1.37,-15.6069
2008,3.79746835443037,1.5058,0.3943,0,-25.51,2.04,0.63,-24.6575
2009,11.3821138211382,0.3889,-2.8097,-0.49,3.93,-1.98,-0.64,-12.7273
2010,16.4233576642336,1.6786,3.3261,-1.48,8.43,3.94,1.03,-6.25
2011,15.3605015673981,1.1853,3.3694,2.25,-6.25,3.66,1.36,-2.2222
2012,25,1.1853,3.8999,0,13.65,4.19,1.95,0
2013,12.6086956521739,0.4686,-1.0364,-0.73,3.48,3.86,-2.17,5.6818
2014,-3.47490347490347,-0.0686,1.5001,2.22,6.21,4.31,2.64,12.9032
2015,5.8,-0.2883,0.3625,-0.72,10.48,3.9,3.11,5.7143
2016,3.40264650283553,-0.5369,-0.8614,-0.24,-1.18,2.79,1.11,4.5045
2017,21.5722120658135,-1.9516,-1.7377,0.24,5.36,4.29,2.41,25
2018,2.55639097744361,-0.2259,-0.4278,0.49,1.65,5.33,3.01,2.7586
2019,13.049853372434,-0.0141,-0.0859,0.24,-2.42,4.28,2.59,2.0134
2020,1.81582360570687,0.0142,0,-4.34,-15.05,-0.86,5.94,0
2021,29.5541401273885,0,0,0,-4.81,10.9,3.32,0
2022,22.3205506391347,0.0283,0.0573,4.03,-24.02,9.82,-5.93,-1.9737
2004,-22.464949462015,0.6529,1.3893,-1.23,8.64,6.64,2.27,-2.1505
2005,-15.6433978132885,0.1179,2.4857,1.74,-6.99,6.73,0.24,1.6484
2006,11.9641076769691,0.1178,1.2438,0.98,-1.4,5.95,2.65,-6.4865
2007,24.1317898486198,0.603,1.2592,-1.45,-1.98,4.77,1.37,-15.6069
2008,-13.7374461979914,1.5058,0.3943,0,-25.51,2.04,0.63,-24.6575
2009,-19.0852390852391,0.3889,-2.8097,-0.49,3.93,-1.98,-0.64,-12.7273
2010,-24.7687564234327,1.6786,3.3261,-1.48,8.43,3.94,1.03,-6.25
2011,-28.483606557377,1.1853,3.3694,2.25,-6.25,3.66,1.36,-2.2222
2012,22.9226361031518,1.1853,3.8999,0,13.65,4.19,1.95,0
2013,3.57420357420358,0.4686,-1.0364,-0.73,3.48,3.86,-2.17,5.6818
2014,-8.47711927981996,-0.0686,1.5001,2.22,6.21,4.31,2.64,12.9032
2015,3.7704918032787,-0.2883,0.3625,-0.72,10.48,3.9,3.11,5.7143
2016,2.84360189573459,-0.5369,-0.8614,-0.24,-1.18,2.79,1.11,4.5045
2017,-0.384024577572956,-1.9516,-1.7377,0.24,5.36,4.29,2.41,25
2018,20.508866615266,-0.2259,-0.4278,0.49,1.65,5.33,3.01,2.7586
2019,13.8195777351247,-0.0141,-0.0859,0.24,-2.42,4.28,2.59,2.0134
2020,-9.44350758853288,0.0142,0,-4.34,-15.05,-0.86,5.94,0
2021,24.0223463687151,0,0,0,-4.81,10.9,3.32,0
2022,9.20920920920921,0.0283,0.0573,4.03,-24.02,9.82,-5.93,-1.9737
2004,12.4169986719787,0.6529,1.3893,-1.23,8.64,6.64,2.27,-2.1505
2005,-2.71707028942706,0.1179,2.4857,1.74,-6.99,6.73,0.24,1.6484
2006,22.5865209471767,0.1178,1.2438,0.98,-1.4,5.95,2.65,-6.4865
2007,19.1679049034175,0.603,1.2592,-1.45,-1.98,4.77,1.37,-15.6069
2008,-0.124688279301736,1.5058,0.3943,0,-25.51,2.04,0.63,-24.6575
2009,1.66458593424885,0.3889,-2.8097,-0.49,3.93,-1.98,-0.64,-12.7273
2010,10.6017191977077,1.6786,3.3261,-1.48,8.43,3.94,1.03,-6.25
2011,13.6935603256847,1.1853,3.3694,2.25,-6.25,3.66,1.36,-2.2222
2012,20.41015625,1.1853,3.8999,0,13.65,4.19,1.95,0
2013,8.32657474993241,0.4686,-1.0364,-0.73,3.48,3.86,-2.17,5.6818
2014,-7.01272772647867,-0.0686,1.5001,2.22,6.21,4.31,2.64,12.9032
2015,4.64304884594741,-0.2883,0.3625,-0.72,10.48,3.9,3.11,5.7143
2016,1.41061810720697,-0.5369,-0.8614,-0.24,-1.18,2.79,1.11,4.5045
2017,29.3626707132018,-1.9516,-1.7377,0.24,5.36,4.29,2.41,25
2018,4.71163245356794,-0.2259,-0.4278,0.49,1.65,5.33,3.01,2.7586
2019,12.2479462285287,-0.0141,-0.0859,0.24,-2.42,4.28,2.59,2.0134
2020,-8.64936793080505,0.0142,0,-4.34,-15.05,-0.86,5.94,0
2021,32.4107793153678,0,0,0,-4.81,10.9,3.32,0
2022,16.7904290429043,0.0283,0.0573,4.03,-24.02,9.82,-5.93,-1.9737
2013,21.2128180070712,0.4686,-1.0364,-0.73,3.48,3.86,-2.17,5.6818
2014,15.5844155844156,-0.0686,1.5001,2.22,6.21,4.31,2.64,12.9032
2015,8.98876404494382,-0.2883,0.3625,-0.72,10.48,3.9,3.11,5.7143
2016,3.85208491202144,-0.5369,-0.8614,-0.24,-1.18,2.79,1.11,4.5045
2017,10.1193891332011,-1.9516,-1.7377,0.24,5.36,4.29,2.41,25
2018,10.0622996480244,-0.2259,-0.4278,0.49,1.65,5.33,3.01,2.7586
2019,9.92726717653349,-0.0141,-0.0859,0.24,-2.42,4.28,2.59,2.0134
2020,-5.53313289392103,0.0142,0,-4.34,-15.05,-0.86,5.94,0
